126,17,146,17,146,25,126,25
148,17,161,17,161,25,148,25
65,132,82,132,82,138,65,138
149,136,164,136,164,140,149,140
86,142,122,142,122,150,86,150
122,143,164,145,163,153,122,151
186,144,194,144,194,150,186,150
124,162,153,162,153,172,124,172
130,171,153,173,153,181,130,179
85,213,118,213,118,221,85,221
90,224,114,224,114,230,90,230
73,244,141,244,141,253,73,253
52,321,80,321,80,328,52,328
56,332,70,332,70,340,56,340
93,332,120,332,120,340,93,340
86,344,96,344,96,352,86,352
122,352,158,352,158,361,122,361
