262,13,341,11,341,20,262,22
80,14,112,14,112,24,80,24
114,14,174,14,174,24,114,24
194,14,259,14,259,22,194,22
176,16,192,16,192,24,176,24
158,22,214,22,214,28,158,28
220,22,242,22,242,26,220,26
144,24,156,24,156,28,144,28
348,36,393,36,393,45,348,45
313,37,332,37,332,44,313,44
265,38,276,38,276,44,265,44
280,38,310,38,310,46,280,46
57,40,77,40,77,46,57,46
82,40,104,40,104,48,82,48
108,47,145,49,145,58,107,55
144,48,166,48,166,56,144,56
174,48,197,48,197,56,174,56
57,49,85,49,85,54,57,54
13,97,42,97,42,106,13,106
98,108,197,108,197,118,98,118
68,109,77,109,77,117,68,117
201,125,254,125,254,136,201,136
263,126,294,124,294,133,264,134
295,124,322,127,321,137,293,133
364,125,402,125,402,130,364,130
133,126,154,126,154,136,133,136
164,128,180,128,180,138,164,138
204,146,254,146,254,154,204,154
99,150,130,146,131,155,100,159
140,148,158,148,158,157,140,157
170,148,197,148,197,156,170,156
179,168,222,164,223,174,180,178
101,166,129,166,129,176,101,176
144,169,167,166,169,176,145,179
106,186,141,186,141,197,106,197
96,209,162,209,162,217,96,217
98,225,134,225,134,237,98,237
158,226,177,226,177,236,158,236
144,229,156,229,156,237,144,237
153,243,228,247,227,261,153,257
94,249,142,247,143,259,94,261
320,290,364,286,365,296,321,300
249,288,279,290,278,299,248,297
288,289,314,289,314,297,288,297
184,290,217,290,217,300,184,300
229,290,242,290,242,300,229,300
90,292,124,292,124,301,90,301
37,294,50,294,50,301,37,301
124,294,169,294,169,302,124,302
244,302,301,296,303,307,245,314
172,302,231,298,232,307,173,311
