218,0,297,0,297,25,218,25
116,1,124,1,124,10,116,10
148,0,158,0,158,12,148,12
185,1,212,1,212,10,185,10
66,2,110,2,110,16,66,16
182,10,213,10,213,22,182,22
132,13,157,13,157,22,132,22
76,16,101,16,101,24,76,24
95,48,131,46,132,57,96,59
134,46,173,46,173,56,134,56
172,46,200,46,200,56,172,56
166,81,186,81,186,89,166,89
186,100,204,100,204,108,186,108
349,121,386,121,386,132,349,132
157,121,209,121,209,144,157,144
284,122,324,122,324,133,284,133
56,124,90,124,90,133,56,133
129,124,150,124,150,133,129,133
221,124,237,124,237,132,221,132
245,124,277,124,277,133,245,133
193,134,246,134,246,145,193,145
55,137,85,135,85,144,56,146
96,136,156,136,156,145,96,145
256,136,277,136,277,144,256,144
80,154,110,156,109,168,79,166
57,199,88,201,87,214,56,211
90,202,101,202,101,212,90,212
60,276,93,278,93,291,59,289
62,356,100,356,100,368,62,368
101,358,117,358,117,366,101,366
