280,144,338,140,339,151,281,155
358,142,384,142,384,150,358,150
36,144,48,144,48,156,36,156
176,144,266,144,266,156,176,156
78,146,128,146,128,157,78,157
142,149,157,149,157,156,142,156
367,151,410,149,410,158,368,160
275,155,350,152,350,161,276,164
150,158,193,158,193,166,150,166
59,154,126,159,125,181,57,176
246,158,249,158,249,162,246,162
309,165,380,157,382,170,310,178
158,170,293,163,293,173,158,180
293,182,398,180,398,202,293,204
381,182,397,182,397,189,381,189
81,188,164,188,164,197,81,197
266,186,285,186,285,194,266,194
165,194,237,177,241,193,169,210
304,186,310,186,310,192,304,192
208,196,262,192,263,203,209,207
61,194,161,194,161,228,61,228
154,198,164,198,164,205,154,205
154,209,190,207,190,215,154,217
396,214,412,214,412,224,396,224
329,214,385,214,385,222,329,222
189,218,250,216,250,225,189,227
268,216,312,216,312,224,268,224
274,227,390,223,390,232,274,236
163,229,258,226,258,234,164,238
82,228,129,229,129,237,82,235
57,237,177,238,177,248,57,247
