173,38,181,38,181,49,173,49
180,38,192,38,192,49,180,49
197,38,209,38,209,50,197,50
190,41,197,41,197,49,190,49
209,42,217,42,217,50,209,50
260,46,274,46,274,57,260,57
288,49,297,49,297,57,288,57
300,49,309,49,309,57,300,57
244,50,253,50,253,58,244,58
276,50,285,50,285,58,276,58
221,52,229,52,229,60,221,60
228,52,237,52,237,58,228,58
236,52,245,52,245,58,236,58
178,68,186,68,186,76,178,76
124,112,133,112,133,120,124,120
142,122,150,122,150,130,142,130
149,122,170,122,170,130,149,130
296,132,312,132,312,144,296,144
312,134,329,134,329,144,312,144
328,136,342,136,342,144,328,144
121,140,130,140,130,148,121,148
129,140,146,140,146,149,129,149
114,141,122,141,122,149,114,149
154,152,168,152,168,161,154,161
138,153,156,153,156,161,138,161
170,156,189,156,189,165,170,165
132,170,144,170,144,180,132,180
153,170,160,170,160,181,153,181
114,172,124,172,124,178,114,178
122,172,133,172,133,178,122,178
145,172,152,172,152,180,145,180
138,180,165,180,165,190,138,190
105,181,114,181,114,190,105,190
86,182,97,182,97,189,86,189
96,182,106,182,106,190,96,190
126,182,140,182,140,190,126,190
96,189,123,192,122,202,95,199
128,193,138,193,138,201,128,201
92,209,102,209,102,220,92,220
101,210,122,210,122,221,101,221
130,210,167,212,166,224,130,222
122,213,132,213,132,221,122,221
170,216,184,216,184,224,170,224
152,232,171,234,170,244,151,242
192,228,249,233,247,248,191,243
116,234,129,234,129,241,116,241
284,234,314,234,314,245,284,245
342,233,354,233,354,245,342,245
89,236,116,236,116,241,89,241
170,234,195,237,194,246,169,243
353,236,361,236,361,244,353,244
270,237,281,237,281,246,270,246
316,237,334,237,334,246,316,246
101,253,109,253,109,262,101,262
108,254,118,254,118,262,108,262
117,254,125,254,125,264,117,264
169,255,203,257,202,268,168,266
236,257,244,257,244,266,236,266
141,258,154,258,154,265,141,265
202,257,224,260,223,270,201,267
221,257,236,257,236,269,221,269
154,261,162,261,162,269,154,269
125,276,136,276,136,284,125,284
145,277,154,277,154,285,145,285
136,278,144,278,144,284,136,284
157,278,173,278,173,286,157,286
172,280,185,280,185,286,172,286
124,285,140,285,140,294,124,294
174,286,204,286,204,296,174,296
205,289,222,289,222,296,205,296
225,290,236,290,236,296,225,296
120,297,132,297,132,306,120,306
102,298,112,298,112,305,102,305
136,298,150,298,150,306,136,306
150,298,160,298,160,306,150,306
110,300,120,300,120,306,110,306
133,318,196,318,196,329,133,329
193,317,208,317,208,333,193,333
88,321,128,321,128,328,88,328
168,340,176,340,176,348,168,348
106,342,114,342,114,346,106,346
138,342,154,342,154,349,138,349
176,342,212,342,212,350,176,350
222,342,230,342,230,349,222,349
153,344,161,344,161,350,153,350
198,376,209,376,209,384,198,384
