218,40,230,40,230,46,218,46
241,41,253,41,253,45,241,45
313,48,333,48,333,56,313,56
341,49,356,49,356,53,341,53
288,50,296,50,296,60,288,60
302,50,310,50,310,58,302,58
294,52,304,52,304,58,294,58
205,54,213,54,213,61,205,61
213,54,226,54,226,61,213,61
304,60,314,60,314,68,304,68
313,60,324,60,324,66,313,66
257,61,274,61,274,69,257,69
217,64,231,61,232,67,219,70
234,62,246,62,246,69,234,69
280,62,293,62,293,69,280,69
146,72,156,72,156,78,146,78
166,73,178,73,178,81,166,81
200,76,216,76,216,82,200,82
221,76,232,76,232,82,221,82
230,76,240,76,240,82,230,82
117,81,129,81,129,89,117,89
128,84,137,84,137,90,128,90
136,84,144,84,144,92,136,92
225,88,236,88,236,94,225,94
234,88,250,88,250,94,234,94
269,88,281,88,281,93,269,93
