65,38,93,38,93,48,65,48
198,38,206,38,206,48,198,48
108,40,122,40,122,48,108,48
205,40,224,40,224,48,205,48
270,40,290,40,290,48,270,48
348,40,365,40,365,48,348,48
376,40,386,40,386,48,376,48
396,40,405,40,405,48,396,48
161,41,173,41,173,48,161,48
172,41,180,41,180,46,172,46
257,41,272,41,272,48,257,48
305,41,313,41,313,48,305,48
312,41,330,41,330,48,312,48
385,41,397,41,397,49,385,49
224,42,234,42,234,46,224,46
218,49,238,49,238,60,218,60
75,51,107,49,108,58,76,60
353,50,376,50,376,60,353,60
66,52,76,52,76,60,66,60
166,52,185,52,185,58,166,58
209,53,218,53,218,60,209,60
64,62,76,62,76,69,64,69
106,62,125,62,125,70,106,70
150,62,164,62,164,70,150,70
174,62,194,62,194,70,174,70
100,64,108,64,108,70,100,70
80,84,105,84,105,93,80,93
104,84,117,84,117,93,104,93
134,84,148,84,148,93,134,93
156,84,174,84,174,92,156,92
192,85,200,85,200,93,192,93
198,85,213,85,213,93,198,93
56,116,64,116,64,124,56,124
145,116,156,116,156,125,145,125
62,117,76,117,76,125,62,125
169,117,178,117,178,122,169,122
128,118,146,118,146,126,128,126
201,118,209,118,209,126,201,126
