190,66,205,66,205,80,190,80
354,70,366,70,366,78,354,78
154,70,173,70,173,97,154,97
170,70,190,70,190,89,170,89
278,90,294,90,294,101,278,101
294,90,317,90,317,104,294,104
314,94,330,94,330,108,314,108
157,102,165,102,165,110,157,110
149,112,169,112,169,121,149,121
169,112,177,112,177,121,169,121
68,114,82,114,82,128,68,128
82,118,101,118,101,129,82,129
104,121,121,121,121,130,104,130
120,122,133,122,133,130,120,130
118,296,126,296,126,301,118,301
136,296,144,296,144,302,136,302
85,310,102,310,102,321,85,321
101,313,114,313,114,322,101,322
204,318,233,320,233,329,203,327
232,317,269,317,269,332,232,332
84,325,93,325,93,333,84,333
161,324,177,324,177,337,161,337
100,326,118,326,118,334,100,334
120,326,149,326,149,341,120,341
150,328,162,328,162,336,150,336
209,330,221,330,221,338,209,338
224,333,234,333,234,338,224,338
233,334,245,334,245,341,233,341
296,333,313,333,313,348,296,348
310,333,340,333,340,350,310,350
258,334,274,334,274,354,258,354
276,335,298,337,297,347,275,345
97,337,112,337,112,346,97,346
244,342,260,342,260,360,244,360
272,345,289,345,289,353,272,353
85,364,100,364,100,381,85,381
96,362,136,362,136,390,96,390
144,377,174,377,174,396,144,396
174,384,204,384,204,397,174,397
242,389,257,389,257,398,242,398
256,388,276,388,276,401,256,401
273,388,297,388,297,401,273,401
294,389,314,389,314,402,294,402
333,390,362,390,362,406,333,406
86,393,101,393,101,401,86,401
360,392,372,392,372,408,360,408
