17,38,37,38,37,52,17,52
1,44,9,44,9,49,1,49
76,102,84,102,84,109,76,109
61,104,73,104,73,108,61,108
112,104,120,104,120,112,112,112
126,104,136,104,136,110,126,110
134,102,146,102,146,113,134,113
193,105,201,105,201,112,193,112
200,105,208,105,208,112,200,112
212,105,220,105,220,110,212,110
221,105,229,105,229,113,221,113
96,112,116,114,115,123,95,121
133,113,148,113,148,121,133,121
166,113,180,113,180,121,166,121
114,114,125,114,125,121,114,121
125,114,134,114,134,118,125,118
189,114,200,114,200,122,189,122
198,114,208,114,208,122,198,122
206,114,220,114,220,124,206,124
52,119,83,121,82,129,51,127
85,124,96,124,96,132,85,132
158,125,173,125,173,134,158,134
177,125,189,125,189,133,177,133
130,126,148,126,148,134,130,134
146,126,160,126,160,133,146,133
198,124,230,128,229,136,197,133
242,126,258,126,258,133,242,133
262,126,276,126,276,133,262,133
277,126,294,126,294,134,277,134
228,129,236,129,236,136,228,136
126,136,144,136,144,144,126,144
52,145,62,145,62,150,52,150
194,145,204,145,204,153,194,153
210,145,221,145,221,153,210,153
62,146,74,146,74,153,62,153
74,146,82,146,82,152,74,152
84,146,92,146,92,152,84,152
114,146,129,146,129,150,114,150
154,146,168,146,168,152,154,152
250,176,274,176,274,186,250,186
49,177,62,177,62,184,49,184
162,177,186,177,186,184,162,184
230,177,242,177,242,184,230,184
242,177,250,177,250,184,242,184
273,177,288,177,288,182,273,182
61,178,72,178,72,182,61,182
89,178,106,178,106,182,89,182
146,178,156,178,156,182,146,182
158,186,202,186,202,194,158,194
49,188,65,188,65,194,49,194
72,188,80,188,80,194,72,194
78,188,93,188,93,194,78,194
92,188,100,188,100,194,92,194
288,188,296,188,296,194,288,194
141,189,154,189,154,196,141,196
218,189,226,189,226,194,218,194
226,189,237,189,237,193,226,193
237,189,253,189,253,197,237,197
262,189,277,189,277,194,262,194
277,189,288,189,288,194,277,194
294,189,306,189,306,193,294,193
113,194,121,194,121,201,113,201
122,196,138,196,138,205,122,205
52,208,64,208,64,214,52,214
200,208,236,208,236,216,200,216
234,208,242,208,242,216,234,216
241,207,273,209,273,215,241,213
280,208,290,208,290,216,280,216
70,209,89,209,89,214,70,214
96,209,109,209,109,217,96,217
148,209,172,209,172,214,148,214
172,209,186,209,186,217,172,217
230,217,262,217,262,224,230,224
301,217,314,217,314,224,301,224
138,218,184,218,184,224,138,224
262,218,278,218,278,225,262,225
53,220,62,220,62,224,53,224
76,220,118,220,118,226,76,226
192,220,200,220,200,230,192,230
214,234,222,234,222,241,214,241
100,237,114,235,115,241,101,243
222,236,240,236,240,244,222,244
88,237,100,237,100,244,88,244
248,237,256,237,256,242,248,242
122,238,153,238,153,249,122,249
176,246,189,246,189,256,176,256
210,246,218,246,218,253,210,253
209,254,222,254,222,262,209,262
197,256,209,256,209,262,197,262
254,265,262,265,262,272,254,272
262,265,270,265,270,272,262,272
177,266,189,266,189,273,177,273
204,266,220,266,220,272,204,272
126,294,173,291,173,301,126,304
93,294,104,294,104,302,93,302
186,294,209,294,209,301,186,301
225,296,242,296,242,301,225,301
280,296,297,296,297,302,280,302
296,296,305,296,305,304,296,304
151,306,194,304,195,312,152,315
218,305,226,305,226,310,218,310
226,305,241,305,241,312,226,312
248,305,264,305,264,312,248,312
284,305,294,305,294,312,284,312
90,306,112,306,112,313,90,313
129,306,141,306,141,312,129,312
296,306,324,306,324,314,296,314
194,314,210,314,210,321,194,321
97,316,110,316,110,321,97,321
140,316,149,316,149,320,140,320
155,314,178,316,177,323,154,320
225,316,240,316,240,320,225,320
258,316,268,316,268,321,258,321
270,316,297,316,297,321,270,321
193,324,216,324,216,330,193,330
86,325,96,325,96,330,86,330
97,325,112,325,112,332,97,332
133,325,146,325,146,330,133,330
146,325,166,325,166,329,146,329
166,324,180,326,179,331,166,329
225,325,242,325,242,330,225,330
262,325,273,325,273,330,262,330
274,325,285,325,285,329,274,329
196,341,205,341,205,349,196,349
205,342,213,342,213,348,205,348
224,342,233,342,233,349,224,349
128,344,137,344,137,348,128,348
137,344,146,344,146,352,137,352
170,352,180,352,180,360,170,360
178,352,186,352,186,360,178,360
186,353,194,353,194,360,186,360
204,353,221,353,221,358,204,358
221,353,234,353,234,362,221,362
