62,0,72,0,72,10,62,10
120,0,128,0,128,8,120,8
128,0,136,0,136,8,128,8
362,37,376,37,376,52,362,52
386,46,401,46,401,54,386,54
238,56,248,56,248,66,238,66
248,57,257,57,257,65,248,65
372,60,398,60,398,74,372,74
326,62,348,62,348,72,326,72
289,64,316,64,316,74,289,74
357,64,365,64,365,70,357,70
224,73,265,73,265,86,224,86
273,74,296,74,296,88,273,88
299,78,319,76,320,86,300,88
329,77,358,77,358,86,329,86
382,77,390,77,390,86,382,86
389,77,405,77,405,86,389,86
294,80,301,80,301,88,294,88
364,80,376,80,376,88,364,88
49,118,70,118,70,132,49,132
132,119,167,117,168,130,133,132
221,120,254,120,254,130,221,130
108,121,117,121,117,126,108,126
166,121,181,121,181,132,166,132
266,120,293,120,293,132,266,132
346,120,365,120,365,132,346,132
69,121,92,123,91,132,68,130
198,122,222,122,222,130,198,130
292,122,319,124,318,134,291,132
336,122,349,122,349,130,336,130
370,124,390,124,390,132,370,132
308,124,342,126,341,141,307,139
60,130,102,130,102,141,60,141
176,133,212,133,212,142,176,142
245,134,265,134,265,142,245,142
265,134,284,134,284,142,265,142
360,134,373,134,373,142,360,142
372,134,390,134,390,142,372,142
132,136,146,136,146,142,132,142
200,137,216,137,216,153,200,153
161,144,180,144,180,156,161,156
66,145,93,145,93,153,66,153
290,145,305,145,305,153,290,153
362,145,385,145,385,153,362,153
384,145,396,145,396,153,384,153
116,146,132,146,132,153,116,153
193,146,201,146,201,153,193,153
214,146,230,146,230,153,214,153
257,146,269,146,269,152,257,152
330,146,345,146,345,152,330,152
316,148,325,148,325,158,316,158
177,154,189,154,189,164,177,164
126,155,152,157,151,168,125,166
305,156,310,156,310,164,305,164
360,156,369,156,369,164,360,164
76,157,90,157,90,165,76,165
96,157,105,157,105,164,96,164
257,158,276,158,276,165,257,165
276,158,284,158,284,165,276,165
310,158,324,158,324,165,310,165
126,165,136,165,136,174,126,174
172,165,181,165,181,174,172,174
181,165,192,165,192,174,181,174
270,165,294,165,294,174,270,174
65,166,76,166,76,176,65,176
105,166,128,166,128,176,105,176
332,167,356,165,357,174,333,177
160,168,173,168,173,176,160,176
314,168,334,168,334,176,314,176
377,168,386,168,386,176,377,176
385,174,393,174,393,186,385,186
