62,8,70,8,70,16,62,16
69,8,78,8,78,16,69,16
77,8,86,8,86,16,77,16
94,9,108,9,108,16,94,16
106,9,114,9,114,17,106,17
113,9,130,9,130,16,113,16
129,9,138,9,138,16,129,16
137,9,152,9,152,16,137,16
154,9,169,9,169,17,154,17
172,9,180,9,180,17,172,17
180,9,188,9,188,17,180,17
196,9,204,9,204,17,196,17
204,9,218,9,218,17,204,17
217,9,225,9,225,16,217,16
224,9,232,9,232,16,224,16
236,9,250,9,250,17,236,17
249,9,257,9,257,16,249,16
256,9,265,9,265,17,256,17
264,9,273,9,273,17,264,17
272,9,281,9,281,16,272,16
286,9,296,9,296,16,286,16
294,9,304,9,304,16,294,16
186,10,197,10,197,17,186,17
196,16,210,16,210,20,196,20
234,16,249,16,249,21,234,21
312,28,324,28,324,36,312,36
324,28,337,28,337,36,324,36
337,28,344,28,344,36,337,36
349,28,361,28,361,34,349,34
107,32,125,30,125,34,108,36
262,30,270,30,270,37,262,37
288,30,304,30,304,34,288,34
86,32,94,32,94,37,86,37
17,81,28,81,28,89,17,89
28,81,38,81,38,89,28,89
0,93,10,93,10,105,0,105
9,96,20,96,20,106,9,106
38,98,49,98,49,106,38,106
18,100,33,100,33,106,18,106
80,100,89,100,89,108,80,108
88,100,114,100,114,108,88,108
61,101,70,101,70,106,61,106
113,101,157,101,157,108,113,108
156,102,164,102,164,106,156,106
8,117,29,117,29,125,8,125
37,118,50,118,50,126,37,126
90,118,138,118,138,126,90,126
190,118,204,118,204,125,190,125
225,118,237,118,237,124,225,124
262,118,282,118,282,125,262,125
282,118,290,118,290,125,282,125
289,118,300,118,300,124,289,124
321,118,336,118,336,125,321,125
334,118,342,118,342,125,334,125
364,118,374,118,374,122,364,122
214,120,225,120,225,124,214,124
300,120,308,120,308,128,300,128
9,136,34,136,34,144,9,144
36,136,49,136,49,144,36,144
98,136,118,136,118,145,98,145
149,136,173,136,173,144,149,144
124,137,130,137,130,145,124,145
172,137,180,137,180,144,172,144
10,153,32,156,31,165,9,162
38,156,52,156,52,164,38,164
92,156,120,156,120,164,92,164
171,157,197,155,197,163,172,165
142,157,150,157,150,165,142,165
149,157,157,157,157,164,149,164
100,174,132,174,132,184,100,184
9,176,20,176,20,184,9,184
18,176,28,176,28,184,18,184
26,176,34,176,34,184,26,184
73,176,81,176,81,181,73,181
9,194,32,194,32,204,9,204
96,196,116,196,116,204,96,204
114,196,148,196,148,204,114,204
12,216,30,216,30,225,12,225
122,216,132,216,132,225,122,225
130,216,141,216,141,225,130,225
106,218,116,218,116,225,106,225
9,237,34,237,34,246,9,246
150,237,190,237,190,246,150,246
104,238,122,238,122,248,104,248
129,238,141,238,141,246,129,246
189,238,212,240,211,251,188,249
121,240,129,240,129,248,121,248
6,260,28,260,28,269,6,269
284,280,292,280,292,289,284,289
310,280,334,280,334,289,310,289
369,278,400,282,399,292,368,289
228,281,244,281,244,290,228,290
350,281,361,281,361,289,350,289
360,281,370,281,370,289,360,289
16,282,34,282,34,290,16,290
41,282,49,282,49,288,41,288
49,282,58,282,58,289,49,289
112,282,128,282,128,290,112,290
126,282,136,282,136,292,126,292
168,282,176,282,176,290,168,290
213,282,228,282,228,290,213,290
277,282,285,282,285,289,277,289
9,284,14,284,14,292,9,292
174,284,193,284,193,294,174,294
192,284,201,284,201,290,192,290
296,292,317,292,317,301,296,301
331,294,375,290,376,301,332,304
374,293,385,293,385,301,374,301
113,294,129,294,129,302,113,302
129,294,144,294,144,302,129,302
218,294,229,294,229,302,218,302
244,294,252,294,252,302,244,302
250,294,273,294,273,302,250,302
272,294,280,294,280,301,272,301
